Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Argentina,2001,2392,132,0.25,3212,21152.9,3,1848,4.7,18.9,2.9,3
Argentina,2002,2395,128,0.25,2973,18647.1,2.82,1850,5,19.5,3.7,2
Argentina,2003,2398,125,0.25,3000,20086.5,2.81,1852,5.2,20.1,4.3,2
Argentina,2004,2401,126,0.25,3014,21679,2.72,1854,5.4,20.7,3.9,2
Argentina,2005,2404,127,0.25,3087,23355.3,2.84,1856,5.7,21.3,3.6,2
Argentina,2006,2407,128,0.25,3090,24975,2.85,1858,5.9,22,3.3,2
Argentina,2007,2409,129,0.25,3117,26952.1,2.83,1859,6.2,22.6,3.2,3
Argentina,2008,2411,129,0.25,3126,27768.7,2.85,1861,6.4,23.3,3.2,3
Argentina,2009,2413,128,0.25,3097,25861.5,2.82,1862,6.7,24,3.4,3
Argentina,2010,2415,127,0.25,3078,28407.4,2.82,1864,7,24.7,3.6,2
Argentina,2011,2416,127,0.25,3071,29767.8,2.84,1864,7.3,25.5,3.6,2
Argentina,2012,2417,128,0.25,3101,29129.2,2.85,1865,7.7,26.3,3.4,2
Argentina,2013,2418,130,0.25,3132,29497.9,2.86,1866,8,27.1,3.1,2
Argentina,2014,2419,131,0.25,3171,28442.2,2.85,1867,8.4,27.9,2.8,2
Argentina,2015,2420,132,0.25,3226,28905.8,2.89,1867,8.8,28.8,2.8,2
Argentina,2016,2421,132,0.26,3168,28006.8,2.82,1868,9.1,29.7,3,3
Argentina,2017,2423,132,0.26,3195,28499,2.85,1870,9.5,30.6,3.4,5
Argentina,2018,2425,134,0.27,3238,27472.6,2.83,1872,9.9,31.5,3.5,5
Argentina,2019,2429,135,0.28,3270,26656.8,2.78,1874,10.4,32.4,3.5,6
Argentina,2020,2433,136,0.28,3309,23785.8,2.8,1877,10.8,33.4,3.4,5
Argentina,2021,2438,137,0.28,3345,26086.8,2.83,1881,11.2,34.4,3.3,5
