Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Australia,2001,2492,124,0.2,3094,44771.5,2.22,1921,2.9,20.2,2.500000,4
Australia,2002,2494,125,0.2,3127,46026.6,2.23,1923,3.1,20.8,2.500000,4
Australia,2003,2496,125,0.2,3156,46906.6,2.25,1924,3.2,21.4,2.500000,4
Australia,2004,2498,125,0.2,3104,48368.1,2.22,1925,3.3,22.0,2.500000,5
Australia,2005,2499,126,0.2,3152,49290.0,2.25,1926,3.5,22.6,2.500000,5
Australia,2006,2499,128,0.2,3208,49969.2,2.15,1926,3.6,23.1,2.500000,5
Australia,2007,2499,129,0.2,3248,50917.0,2.21,1925,3.8,23.6,2.500000,4
Australia,2008,2498,130,0.2,3246,51696.6,2.22,1924,3.9,24.1,2.500000,4
Australia,2009,2498,134,0.2,3247,51600.6,2.14,1924,4.1,24.5,2.500000,4
Australia,2010,2497,138,0.2,3534,51935.2,2.05,1923,4.2,25.0,2.500000,4
Australia,2011,2496,142,0.2,3515,52452.4,2.03,1923,4.4,25.4,2.500000,4
Australia,2012,2495,142,0.2,3563,53564.3,2.05,1922,4.5,25.7,2.500000,4
Australia,2013,2493,142,0.2,3546,54022.5,2.08,1920,4.7,26.1,2.500000,4
Australia,2014,2491,142,0.2,3534,54610.4,2.0,1919,4.8,26.5,2.500000,5
Australia,2015,2490,142,0.2,3520,55015.3,2.01,1919,5.0,27.0,2.500000,5
Australia,2016,2489,141,0.2,3538,55667.9,2.05,1918,5.1,27.4,2.500000,5
Australia,2017,2489,140,0.21,3494,56028.4,2.03,1918,5.3,27.9,2.500000,5
Australia,2018,2490,140,0.21,3470,56800.6,2.0,1919,5.5,28.3,2.500000,5
Australia,2019,2491,140,0.21,3504,57188.3,1.96,1919,5.7,28.8,2.500000,5
Australia,2020,2493,140,0.21,3480,56298.2,2.03,1920,5.9,29.3,2.500000,5
Australia,2021,2494,138,0.22,3454,57406.2,2.0,1921,6.0,29.8,2.500000,4
