Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Austria,2001,2528,146,0.2,3706,55244.6,1.87,1947,0.8,12.3,2.500000,5
Austria,2002,2530,144,0.2,3633,55881.4,1.88,1948,0.8,12.5,2.500000,5
Austria,2003,2532,143,0.2,3594,56133.4,1.93,1949,0.8,12.8,2.500000,5
Austria,2004,2534,142,0.2,3596,57312.1,1.96,1951,0.9,13.0,2.500000,5
Austria,2005,2537,144,0.2,3634,58200.3,1.95,1952,0.9,13.3,2.500000,5
Austria,2006,2540,145,0.2,3715,59913.4,1.88,1954,0.9,13.5,2.500000,5
Austria,2007,2542,146,0.2,3736,61945.5,1.95,1955,0.9,13.7,2.500000,6
Austria,2008,2542,146,0.2,3717,62653.7,1.97,1955,0.9,13.8,2.500000,6
Austria,2009,2542,147,0.2,3723,60137.3,1.89,1955,0.9,13.9,2.500000,7
Austria,2010,2543,149,0.2,3786,61095.1,1.8,1956,1.0,14.0,2.500000,7
Austria,2011,2543,150,0.2,3835,62669.2,1.82,1956,1.0,14.1,2.500000,7
Austria,2012,2543,150,0.2,3824,62808.6,1.77,1956,1.0,14.2,2.500000,7
Austria,2013,2544,149,0.2,3798,62455.4,1.76,1956,1.0,14.2,2.500000,7
Austria,2014,2544,148,0.2,3755,62379.0,1.8,1957,1.0,14.3,2.500000,7
Austria,2015,2544,147,0.2,3735,62309.4,1.78,1956,1.0,14.4,2.500000,7
Austria,2016,2543,147,0.2,3716,62865.5,1.75,1955,1.0,14.5,2.500000,7
Austria,2017,2540,147,0.2,3754,63840.4,1.73,1954,1.1,14.6,2.500000,7
Austria,2018,2539,149,0.2,3755,65071.0,1.79,1953,1.1,14.8,2.500000,7
Austria,2019,2537,149,0.2,3814,65722.0,1.74,1951,1.1,14.9,2.500000,7
Austria,2020,2535,150,0.2,3777,61108.4,1.72,1950,1.1,15.0,2.500000,7
Austria,2021,2533,150,0.21,3819,63421.2,1.69,1949,1.1,15.2,2.500000,7
