Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Belgium,2001,2545,147,0.2,3740,51599.7,1.84,1959,1.2,15.0,2.500000,6
Belgium,2002,2546,146,0.2,3740,52245.7,1.83,1960,1.3,15.3,2.500000,6
Belgium,2003,2548,146,0.2,3705,52567.5,1.86,1961,1.3,15.6,2.500000,6
Belgium,2004,2549,145,0.2,3708,54209.7,1.86,1962,1.3,15.9,2.500000,6
Belgium,2005,2549,145,0.2,3702,55164.0,1.8,1961,1.4,16.2,2.500000,6
Belgium,2006,2548,145,0.2,3705,56200.1,1.86,1961,1.4,16.5,2.500000,6
Belgium,2007,2547,145,0.2,3706,57840.2,1.88,1960,1.4,16.8,2.500000,6
Belgium,2008,2546,145,0.2,3700,57641.6,1.83,1959,1.5,17.0,2.500000,7
Belgium,2009,2544,146,0.2,3698,56024.2,1.81,1957,1.5,17.3,2.500000,7
Belgium,2010,2543,146,0.2,3728,57104.8,1.73,1956,1.5,17.5,2.500000,7
Belgium,2011,2541,147,0.2,3733,57321.8,1.69,1955,1.5,17.7,2.500000,7
Belgium,2012,2540,147,0.2,3724,57388.5,1.72,1955,1.6,17.8,2.500000,7
Belgium,2013,2539,148,0.2,3738,57380.9,1.79,1954,1.6,18.0,2.500000,7
Belgium,2014,2539,149,0.2,3807,58028.5,1.93,1954,1.6,18.2,2.500000,7
Belgium,2015,2539,150,0.2,3817,58871.1,1.76,1954,1.6,18.4,2.500000,7
Belgium,2016,2539,149,0.2,3781,59315.7,1.85,1954,1.7,18.6,2.500000,7
Belgium,2017,2540,149,0.2,3792,60044.6,1.73,1954,1.7,18.8,2.500000,7
Belgium,2018,2540,150,0.2,3801,60843.6,1.83,1954,1.7,19.0,2.500000,7
Belgium,2019,2541,151,0.2,3849,61871.7,1.77,1955,1.8,19.2,2.500000,7
Belgium,2020,2542,152,0.2,3859,58364.7,1.75,1955,1.8,19.5,2.500000,7
Belgium,2021,2544,153,0.2,3892,62107.1,1.88,1956,1.8,19.8,2.500000,7
