Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Canada,2001,2505,140,0.2,3513,47893.3,2.09,1930,5.0,20.7,2.500000,4
Canada,2002,2509,140,0.2,3508,48796.2,2.1,1932,5.2,21.3,2.500000,4
Canada,2003,2512,141,0.2,3530,49231.9,2.07,1934,5.3,21.8,2.500000,4
Canada,2004,2515,140,0.2,3536,50283.0,2.05,1936,5.5,22.2,2.500000,4
Canada,2005,2517,139,0.2,3485,51409.5,2.07,1937,5.7,22.7,2.500000,4
Canada,2006,2518,138,0.2,3478,52235.2,2.1,1938,5.9,23.1,2.500000,4
Canada,2007,2518,138,0.2,3489,52790.8,2.11,1938,6.1,23.4,2.500000,5
Canada,2008,2518,138,0.2,3468,52742.0,2.06,1937,6.2,23.7,2.500000,5
Canada,2009,2516,139,0.2,3441,50623.3,2.1,1936,6.4,24.0,2.500000,6
Canada,2010,2515,141,0.2,3561,51610.9,2.15,1935,6.6,24.3,2.500000,6
Canada,2011,2514,142,0.2,3596,52711.6,2.09,1934,6.7,24.5,2.500000,6
Canada,2012,2512,142,0.2,3577,53057.8,2.2,1933,6.8,24.7,2.500000,6
Canada,2013,2511,141,0.2,3552,53721.2,2.19,1932,7.0,24.8,2.500000,6
Canada,2014,2509,141,0.2,3521,54712.0,2.07,1931,7.1,25.0,2.500000,7
Canada,2015,2507,142,0.2,3526,54658.2,2.06,1929,7.2,25.1,2.500000,7
Canada,2016,2505,143,0.2,3595,54604.0,2.08,1928,7.3,25.3,2.500000,7
Canada,2017,2505,144,0.2,3593,55589.8,2.07,1927,7.5,25.4,2.500000,7
Canada,2018,2505,143,0.2,3599,56313.5,2.09,1927,7.6,25.6,2.500000,7
Canada,2019,2505,144,0.2,3581,56570.0,2.08,1927,7.8,25.7,2.500000,7
Canada,2020,2505,144,0.2,3624,53146.1,2.03,1927,7.9,25.9,2.500000,7
Canada,2021,2505,144,0.21,3589,55634.8,2.03,1927,8.1,26.0,2.500000,7
