Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Chile,2001,2396,121,0.22,2891,18037.2,2.7,1851,2.3,21.3,3.2,5
Chile,2002,2401,121,0.22,2925,18413.4,2.76,1854,2.4,22.1,3.1,5
Chile,2003,2407,122,0.22,2918,19082.1,2.82,1858,2.5,22.8,3,5
Chile,2004,2415,121,0.22,2945,20153.8,2.79,1864,2.6,23.5,3.1,4
Chile,2005,2420,122,0.22,2937,21122.7,2.82,1867,2.8,24.2,3,4
Chile,2006,2426,122,0.22,2984,22182.3,2.84,1871,2.9,24.9,3,4
Chile,2007,2430,122,0.22,2958,23101.0,2.75,1874,3.0,25.7,3,4
Chile,2008,2433,121,0.22,2965,23737.7,2.79,1876,3.2,26.4,3.3,4
Chile,2009,2435,120,0.22,2910,23232.5,2.73,1877,3.3,27.2,3.6,5
Chile,2010,2437,120,0.22,2905,24345.0,2.74,1879,3.5,28.0,3.7,5
Chile,2011,2439,120,0.22,2933,25605.1,2.68,1880,3.7,28.8,3.8,5
Chile,2012,2440,121,0.22,2918,26917.6,2.74,1881,3.8,29.6,3.5,6
Chile,2013,2440,121,0.22,2969,27541.1,2.74,1881,4.0,30.5,3.4,6
Chile,2014,2441,122,0.22,2967,27754.0,2.7,1882,4.2,31.3,3.3,7
Chile,2015,2442,122,0.22,2954,28060.9,2.7,1883,4.4,32.2,3.3,7
Chile,2016,2443,122,0.22,2985,28215.3,2.7,1884,4.6,33.2,3.2,7
Chile,2017,2445,122,0.22,2987,28155.1,2.74,1885,4.8,34.1,3.1,8
Chile,2018,2448,123,0.22,3021,28757.4,2.77,1887,5.0,35.0,3,8
Chile,2019,2450,124,0.22,3048,28456.7,2.75,1889,5.3,36.0,2.7,8
Chile,2020,2451,126,0.22,3090,26347.1,2.76,1890,5.5,37.0,2.5,9
Chile,2021,2452,127,0.23,3131,29148.2,2.82,1891,5.7,37.9,2.5,9
