Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Cyprus,2001,2507,106,0.18,2650,37820.5,2.25,1929,0.1,18.5,5.8,34
Cyprus,2002,2513,105,0.18,2646,38781.6,2.22,1933,0.1,18.9,6.3,37
Cyprus,2003,2520,104,0.18,2623,39318.1,2.1,1938,0.1,19.3,6.8,45
Cyprus,2004,2527,103,0.18,2615,40745.7,2.12,1942,0.1,19.7,7.6,44
Cyprus,2005,2532,102,0.18,2578,42112.2,2.19,1946,0.2,20.0,8.4,46
Cyprus,2006,2539,102,0.18,2565,43367.7,2.24,1950,0.2,20.3,8.4,48
Cyprus,2007,2543,103,0.18,2637,44618.5,2.28,1954,0.2,20.6,7.8,58
Cyprus,2008,2548,103,0.18,2646,45098.8,2.13,1957,0.2,20.9,7.4,65
Cyprus,2009,2551,108,0.18,2613,43019.5,2.13,1959,0.2,21.1,5.5,67
Cyprus,2010,2553,112,0.18,3006,42753.3,2.1,1960,0.2,21.3,3.6,64
Cyprus,2011,2552,117,0.18,2994,41843.6,2.08,1960,0.2,21.4,2.5,59
Cyprus,2012,2552,117,0.18,2980,39790.4,2.05,1960,0.2,21.6,2.5,53
Cyprus,2013,2548,116,0.18,2952,37269.5,2.03,1958,0.2,21.7,2.5,43
Cyprus,2014,2546,116,0.18,2933,36992.6,2.05,1957,0.2,21.8,2.5,34
Cyprus,2015,2543,117,0.18,2989,38462.5,2.11,1956,0.2,21.9,2.5,29
Cyprus,2016,2541,117,0.18,2964,40757.7,2.05,1955,0.2,22.0,2.5,29
Cyprus,2017,2538,117,0.18,2972,42743.6,2.04,1953,0.2,22.2,2.5,26
Cyprus,2018,2538,118,0.18,2980,44629.2,2.1,1954,0.2,22.3,2.5,26
Cyprus,2019,2534,119,0.18,3043,46599.0,1.97,1952,0.2,22.4,2.5,27
Cyprus,2020,2533,120,0.18,3035,44511.5,2.0,1951,0.2,22.6,2.5,30
Cyprus,2021,2531,120,0.18,3043,48469.4,1.97,1950,0.2,22.8,2.5,31
