Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Denmark,2001,2537,132,0.2,3333,58387.8,1.89,1955,0.5,10.9,2.500000,6
Denmark,2002,2537,132,0.2,3371,58473.0,2.05,1954,0.5,11.1,2.500000,6
Denmark,2003,2537,133,0.2,3341,58541.6,2.01,1954,0.5,11.4,2.500000,7
Denmark,2004,2536,133,0.2,3380,59948.5,1.99,1953,0.5,11.6,2.500000,7
Denmark,2005,2536,134,0.2,3412,61180.5,2.07,1953,0.5,11.8,2.500000,7
Denmark,2006,2535,135,0.2,3405,63365.9,2.05,1952,0.5,12.0,2.500000,7
Denmark,2007,2535,134,0.2,3444,63659.2,2.07,1951,0.5,12.2,2.500000,7
Denmark,2008,2535,133,0.2,3325,62962.2,2.02,1951,0.5,12.3,2.500000,8
Denmark,2009,2535,132,0.2,3339,59553.4,2.08,1951,0.5,12.4,2.500000,8
Denmark,2010,2536,133,0.2,3409,60398.8,2.07,1952,0.5,12.5,2.500000,8
Denmark,2011,2538,134,0.2,3392,60954.7,1.97,1952,0.5,12.5,2.500000,8
Denmark,2012,2540,134,0.2,3396,60863.3,1.97,1954,0.6,12.5,2.500000,8
Denmark,2013,2543,135,0.2,3424,61175.8,1.95,1955,0.6,12.6,2.500000,8
Denmark,2014,2546,135,0.2,3433,61852.0,1.9,1957,0.6,12.6,2.500000,8
Denmark,2015,2547,134,0.2,3416,62855.4,1.89,1958,0.6,12.7,2.500000,8
Denmark,2016,2548,134,0.2,3424,64391.2,1.95,1958,0.6,12.7,2.500000,8
Denmark,2017,2548,136,0.2,3443,65783.5,1.97,1958,0.6,12.8,2.500000,8
Denmark,2018,2548,138,0.2,3574,66760.5,1.9,1958,0.6,12.9,2.500000,8
Denmark,2019,2550,140,0.2,3581,67515.3,1.8,1959,0.6,13.0,2.500000,8
Denmark,2020,2549,141,0.2,3596,65686.5,1.8,1958,0.6,13.1,2.500000,8
Denmark,2021,2549,141,0.21,3584,69878.9,1.83,1957,0.6,13.2,2.500000,8
