Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Finland,2001,2558,123,0.2,3163,48599.8,2.15,1969,0.7,16.6,2.500000,3
Finland,2002,2560,123,0.2,3144,49309.9,2.15,1970,0.7,16.9,2.500000,4
Finland,2003,2562,123,0.2,3145,50178.1,2.2,1971,0.7,17.2,2.500000,4
Finland,2004,2563,124,0.2,3179,52030.0,2.22,1972,0.7,17.5,2.500000,4
Finland,2005,2563,125,0.2,3193,53293.6,2.22,1971,0.7,17.8,2.500000,4
Finland,2006,2562,126,0.2,3231,55227.6,2.2,1970,0.8,18.1,2.500000,4
Finland,2007,2560,127,0.2,3277,57907.5,2.23,1969,0.8,18.3,2.500000,4
Finland,2008,2559,127,0.2,3235,58090.4,2.23,1967,0.8,18.6,2.500000,4
Finland,2009,2557,125,0.2,3234,53145.1,2.21,1966,0.8,18.8,2.500000,5
Finland,2010,2554,125,0.2,3164,54588.0,2.13,1963,0.8,19.0,2.500000,6
Finland,2011,2552,126,0.2,3188,55719.8,2.11,1962,0.8,19.2,2.500000,6
Finland,2012,2551,127,0.2,3262,54680.3,2.1,1961,0.8,19.3,2.500000,6
Finland,2013,2549,127,0.2,3242,53938.2,2.1,1959,0.8,19.5,2.500000,6
Finland,2014,2548,127,0.2,3238,53519.6,2.1,1959,0.9,19.7,2.500000,6
Finland,2015,2547,127,0.2,3235,53633.6,2.11,1958,0.9,19.9,2.500000,7
Finland,2016,2548,128,0.2,3265,54983.2,2.09,1958,0.9,20.1,2.500000,7
Finland,2017,2549,129,0.2,3265,56605.5,2.1,1959,0.9,20.3,2.500000,6
Finland,2018,2551,130,0.2,3314,57174.8,2.09,1960,0.9,20.5,2.500000,6
Finland,2019,2554,131,0.2,3339,57811.3,2.07,1962,0.9,20.8,2.500000,6
Finland,2020,2557,131,0.2,3358,56368.8,2.04,1964,0.9,21.0,2.500000,6
Finland,2021,2559,130,0.21,3319,57848.6,2.05,1966,1.0,21.2,2.500000,6
