Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
France,2001,2509,145,0.2,3653,48179.2,2.06,1932,5.5,12.0,2.500000,6
France,2002,2508,145,0.2,3671,48372.5,2.07,1932,5.6,12.1,2.500000,6
France,2003,2508,144,0.2,3603,48425.4,2.05,1932,5.7,12.2,2.500000,6
France,2004,2508,143,0.2,3573,49431.0,2.05,1932,5.7,12.3,2.500000,6
France,2005,2508,142,0.2,3557,49877.7,2.0,1932,5.8,12.3,2.500000,6
France,2006,2507,141,0.2,3532,50746.1,1.97,1931,5.9,12.4,2.500000,6
France,2007,2505,141,0.2,3485,51657.1,1.99,1930,5.9,12.4,2.500000,7
France,2008,2503,141,0.2,3571,51500.9,2.06,1928,5.9,12.3,2.500000,7
France,2009,2500,142,0.2,3549,49765.1,2.02,1926,5.9,12.2,2.500000,7
France,2010,2498,142,0.2,3557,50485.8,1.93,1925,5.9,12.1,2.500000,8
France,2011,2497,142,0.2,3542,51344.4,1.92,1923,5.8,11.9,2.500000,8
France,2012,2495,141,0.2,3507,51256.5,1.92,1922,5.8,11.7,2.500000,8
France,2013,2494,141,0.2,3516,51286.3,1.92,1921,5.7,11.5,2.500000,8
France,2014,2493,140,0.2,3478,51534.8,1.96,1921,5.6,11.3,2.500000,8
France,2015,2493,140,0.2,3465,51923.4,1.95,1921,5.5,11.1,2.500000,8
France,2016,2493,140,0.2,3508,52353.9,2.0,1921,5.5,10.9,2.500000,9
France,2017,2494,141,0.2,3514,53398.3,2.06,1921,5.4,10.7,2.500000,9
France,2018,2495,141,0.2,3505,54199.6,1.99,1921,5.3,10.5,2.500000,9
France,2019,2496,142,0.2,3535,55010.4,1.98,1922,5.2,10.3,2.500000,9
France,2020,2497,143,0.2,3578,50724.5,1.96,1923,5.1,10.1,2.500000,9
France,2021,2499,144,0.2,3604,53834.8,1.98,1924,5.0,9.9,2.500000,9
