Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Germany,2001,2542,136,0.2,3451,50549.5,1.88,1957,12.1,18.2,2.500000,5
Germany,2002,2543,137,0.2,3517,50364.6,1.88,1957,12.3,18.6,2.500000,5
Germany,2003,2545,138,0.2,3480,49984.4,1.87,1959,12.6,19.0,2.500000,5
Germany,2004,2546,138,0.2,3503,50582.7,1.87,1959,12.9,19.3,2.500000,5
Germany,2005,2548,139,0.2,3544,50981.8,1.81,1961,13.1,19.6,2.500000,4
Germany,2006,2551,140,0.2,3562,52987.2,1.81,1963,13.3,19.9,2.500000,4
Germany,2007,2553,141,0.2,3627,54637.3,1.83,1964,13.5,20.1,2.500000,5
Germany,2008,2554,142,0.2,3617,55266.8,1.81,1964,13.6,20.3,2.500000,5
Germany,2009,2555,141,0.2,3614,52252.2,1.82,1965,13.7,20.4,2.500000,5
Germany,2010,2555,141,0.2,3596,54519.7,1.77,1965,13.8,20.4,2.500000,5
Germany,2011,2556,141,0.2,3627,57719.8,1.8,1965,13.9,20.5,2.500000,5
Germany,2012,2556,141,0.2,3578,57852.7,1.8,1965,13.9,20.5,2.500000,5
Germany,2013,2555,140,0.2,3566,57947.5,1.78,1965,14.0,20.4,2.500000,5
Germany,2014,2554,140,0.2,3556,58981.5,1.79,1964,14.0,20.4,2.500000,5
Germany,2015,2553,140,0.2,3591,59345.5,1.82,1962,14.0,20.4,2.500000,5
Germany,2016,2550,140,0.2,3576,60181.1,1.82,1960,14.1,20.4,2.500000,5
Germany,2017,2546,141,0.2,3568,61563.6,1.8,1958,14.1,20.4,2.500000,5
Germany,2018,2543,142,0.2,3607,61981.1,1.79,1955,14.1,20.4,2.500000,5
Germany,2019,2540,143,0.2,3635,62506.6,1.75,1953,14.1,20.4,2.500000,5
Germany,2020,2537,143,0.2,3642,60065.5,1.75,1951,14.2,20.4,2.500000,5
Germany,2021,2534,144,0.21,3634,61939.7,1.73,1949,14.2,20.4,2.500000,6
