Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Greece,2001,2543,141,0.2,3575,33630.2,2.44,1954,1.8,19.5,2.500000,26
Greece,2002,2543,141,0.2,3588,34821.6,2.33,1954,1.8,20.0,2.500000,29
Greece,2003,2543,142,0.2,3590,36751.5,2.35,1955,1.9,20.5,2.500000,31
Greece,2004,2542,141,0.2,3653,38516.1,2.4,1954,1.9,21.1,2.500000,30
Greece,2005,2541,140,0.2,3534,38633.4,2.32,1953,2.0,21.6,2.500000,29
Greece,2006,2538,138,0.2,3444,40694.7,2.28,1952,2.0,22.1,2.500000,28
Greece,2007,2535,138,0.2,3494,41920.1,2.3,1950,2.1,22.6,2.500000,28
Greece,2008,2533,139,0.2,3533,41668.8,2.19,1948,2.1,23.1,2.500000,30
Greece,2009,2529,140,0.2,3549,39772.0,2.25,1946,2.1,23.5,2.500000,30
Greece,2010,2526,140,0.2,3531,37544.9,2.17,1944,2.2,23.9,2.500000,26
Greece,2011,2523,140,0.2,3532,33784.3,2.21,1942,2.2,24.3,2.500000,22
Greece,2012,2522,140,0.2,3518,31560.3,2.21,1941,2.2,24.6,2.500000,19
Greece,2013,2521,139,0.2,3524,30990.2,2.23,1941,2.2,24.9,2.500000,18
Greece,2014,2520,137,0.2,3445,31345.7,2.08,1940,2.3,25.2,2.500000,18
Greece,2015,2520,135,0.2,3407,31491.0,2.07,1941,2.3,25.6,2.500000,19
Greece,2016,2520,134,0.21,3353,31468.2,1.99,1940,2.3,25.9,2.500000,19
Greece,2017,2519,134,0.21,3391,31874.9,2.03,1940,2.3,26.2,2.500000,18
Greece,2018,2519,135,0.21,3393,32472.5,2.09,1940,2.3,26.5,2.500000,17
Greece,2019,2520,135,0.21,3421,33117.7,2.09,1939,2.3,26.9,2.500000,16
Greece,2020,2520,134,0.21,3378,30096.8,2.08,1939,2.4,27.2,2.500000,16
Greece,2021,2521,134,0.21,3350,33018.3,2.04,1940,2.4,27.6,2.500000,15
