Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Iceland,2001,2523,126,0.2,3160,49321.8,2.24,1943,0.1,14.8,2.500000,8
Iceland,2002,2526,127,0.2,3233,49157.0,2.23,1944,0.1,15.3,2.500000,8
Iceland,2003,2525,129,0.2,3259,49863.8,2.27,1944,0.1,15.8,2.500000,8
Iceland,2004,2527,131,0.2,3311,53284.5,2.27,1945,0.1,16.2,2.500000,8
Iceland,2005,2527,133,0.2,3346,55659.9,2.33,1946,0.1,16.6,2.500000,9
Iceland,2006,2529,134,0.2,3415,57803.0,2.38,1948,0.1,17.0,2.500000,8
Iceland,2007,2538,135,0.2,3456,61123.9,2.43,1953,0.1,17.4,2.500000,8
Iceland,2008,2542,134,0.2,3408,61323.4,2.39,1955,0.1,17.7,2.500000,7
Iceland,2009,2532,132,0.2,3372,56430.8,2.34,1948,0.1,18.0,2.500000,7
Iceland,2010,2527,131,0.2,3282,54911.2,2.26,1945,0.1,18.3,2.500000,7
Iceland,2011,2524,131,0.2,3282,55754.2,2.22,1943,0.1,18.5,2.500000,6
Iceland,2012,2531,131,0.2,3337,56048.2,2.24,1947,0.1,18.7,2.500000,7
Iceland,2013,2532,132,0.2,3337,58048.1,2.2,1948,0.1,18.9,2.500000,7
Iceland,2014,2534,134,0.2,3369,58374.4,2.28,1948,0.1,19.2,2.500000,8
Iceland,2015,2538,136,0.2,3442,60332.4,2.28,1951,0.1,19.4,2.500000,8
Iceland,2016,2542,139,0.2,3549,63251.5,2.26,1953,0.1,19.6,2.500000,9
Iceland,2017,2550,141,0.2,3607,64377.0,2.28,1959,0.1,19.9,2.500000,9
Iceland,2018,2557,142,0.2,3620,65740.1,2.26,1964,0.1,20.1,2.500000,10
Iceland,2019,2561,142,0.2,3657,65507.2,2.27,1967,0.1,20.4,2.500000,10
Iceland,2020,2561,142,0.2,3634,59801.9,2.22,1966,0.1,20.7,2.500000,10
Iceland,2021,2561,142,0.2,3612,61481.4,2.22,1966,0.1,20.9,2.500000,10
