Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Ireland,2001,2496,148,0.2,3745,54738.3,1.98,1921,0.6,19.9,2.500000,4
Ireland,2002,2497,147,0.2,3609,56998.8,2.09,1923,0.6,20.5,2.500000,4
Ireland,2003,2495,145,0.2,3620,57767.9,2.11,1922,0.6,21.1,2.500000,4
Ireland,2004,2496,143,0.2,3598,60571.7,2.07,1922,0.7,21.6,2.500000,4
Ireland,2005,2498,141,0.21,3499,62668.0,1.98,1924,0.7,22.2,2.500000,4
Ireland,2006,2500,140,0.21,3499,64043.7,2.07,1926,0.7,22.7,2.500000,5
Ireland,2007,2498,141,0.21,3505,65522.6,2.03,1924,0.8,23.2,2.500000,5
Ireland,2008,2493,141,0.21,3530,61321.6,2.05,1921,0.8,23.6,2.500000,6
Ireland,2009,2486,143,0.21,3504,57608.7,2.05,1917,0.8,24.0,2.500000,6
Ireland,2010,2479,144,0.21,3584,58259.9,2.04,1912,0.8,24.4,2.500000,5
Ireland,2011,2474,146,0.21,3627,58749.3,2.0,1909,0.8,24.7,2.500000,6
Ireland,2012,2471,147,0.21,3618,58425.0,2.05,1907,0.9,25.0,2.500000,6
Ireland,2013,2469,148,0.21,3634,58800.8,2.1,1906,0.9,25.4,2.500000,6
Ireland,2014,2469,150,0.21,3700,63526.3,1.97,1907,0.9,25.7,2.500000,6
Ireland,2015,2470,152,0.21,3773,78330.9,2.03,1908,0.9,26.0,2.500000,6
Ireland,2016,2473,155,0.2,3819,78819.1,1.99,1909,0.9,26.3,2.500000,6
Ireland,2017,2475,157,0.2,3906,85225.2,1.96,1911,1.0,26.6,2.500000,6
Ireland,2018,2479,158,0.2,3936,91305.9,1.93,1913,1.0,27.0,2.500000,5
Ireland,2019,2483,157,0.2,3908,94837.1,1.94,1915,1.0,27.3,2.500000,5
Ireland,2020,2486,156,0.21,3888,100077.0,1.86,1917,1.0,27.6,2.500000,5
Ireland,2021,2489,155,0.19,3861,114121.0,1.8,1919,1.1,28.0,2.500000,5
