Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Israel,2001,2314,158,0.2,3644,32506.8,2.34,1790,0.8,19.0,2.500000,5
Israel,2002,2315,158,0.2,3740,31822.3,2.32,1791,0.8,19.5,2.500000,5
Israel,2003,2316,159,0.2,3616,31688.5,2.34,1792,0.9,19.9,2.500000,5
Israel,2004,2316,158,0.2,3661,32622.9,2.41,1792,0.9,20.3,2.500000,5
Israel,2005,2316,158,0.2,3674,33377.9,2.48,1792,0.9,20.7,2.500000,5
Israel,2006,2315,157,0.2,3667,34623.7,2.37,1792,1.0,21.0,2.500000,5
Israel,2007,2314,155,0.2,3568,36066.4,2.34,1791,1.0,21.2,2.500000,5
Israel,2008,2313,154,0.2,3566,36583.2,2.32,1790,1.0,21.5,2.500000,6
Israel,2009,2310,155,0.2,3555,36034.6,2.38,1789,1.1,21.7,2.500000,6
Israel,2010,2308,156,0.2,3608,37388.0,2.3,1787,1.1,21.8,2.500000,6
Israel,2011,2306,157,0.2,3611,38744.5,2.3,1785,1.1,21.9,2.500000,6
Israel,2012,2304,157,0.2,3613,39020.0,2.26,1784,1.1,21.9,2.500000,6
Israel,2013,2303,157,0.2,3622,39989.7,2.26,1783,1.1,22.0,2.500000,6
Israel,2014,2302,157,0.2,3643,40766.8,2.25,1782,1.2,22.0,2.500000,6
Israel,2015,2300,156,0.2,3576,40960.6,2.22,1781,1.2,22.0,2.500000,7
Israel,2016,2298,156,0.2,3562,41981.6,2.26,1780,1.2,22.1,2.500000,7
Israel,2017,2297,156,0.2,3602,42936.4,2.21,1779,1.2,22.1,2.500000,8
Israel,2018,2298,158,0.2,3615,43831.4,2.24,1779,1.3,22.2,2.500000,8
Israel,2019,2298,159,0.21,3644,44789.9,2.22,1780,1.3,22.2,2.500000,9
Israel,2020,2298,160,0.21,3684,43189.5,2.19,1780,1.3,22.3,2.500000,10
Israel,2021,2300,161,0.21,3701,46126.6,2.23,1781,1.3,22.4,2.500000,11
