Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Italy,2001,2529,146,0.2,3692,51445.4,2.12,1947,6.5,13.8,2.500000,6
Italy,2002,2529,145,0.2,3681,51499.3,2.13,1946,6.7,14.1,2.500000,6
Italy,2003,2528,145,0.2,3640,51342.0,2.14,1946,6.8,14.3,2.500000,7
Italy,2004,2527,143,0.2,3646,51736.9,2.23,1946,7.0,14.6,2.500000,7
Italy,2005,2526,144,0.2,3591,51904.4,2.22,1945,7.2,14.8,2.500000,7
Italy,2006,2524,144,0.2,3658,52675.3,2.21,1944,7.3,15.1,2.500000,6
Italy,2007,2522,145,0.2,3663,53189.3,2.21,1943,7.5,15.3,2.500000,6
Italy,2008,2521,145,0.2,3653,52329.8,2.19,1942,7.6,15.5,2.500000,7
Italy,2009,2519,146,0.2,3667,49341.0,2.3,1941,7.8,15.7,2.500000,7
Italy,2010,2518,146,0.2,3675,50032.2,2.17,1940,7.9,15.8,2.500000,7
Italy,2011,2518,146,0.2,3668,50299.5,2.11,1940,8.0,16.0,2.500000,7
Italy,2012,2518,145,0.2,3660,48668.8,2.06,1940,8.0,16.1,2.500000,7
Italy,2013,2519,143,0.2,3659,47222.2,2.08,1940,8.1,16.2,2.500000,7
Italy,2014,2519,142,0.2,3533,46788.7,2.03,1940,8.2,16.3,2.500000,7
Italy,2015,2520,140,0.2,3539,47198.4,2.06,1941,8.2,16.4,2.500000,7
Italy,2016,2522,140,0.2,3541,47890.2,2.05,1942,8.3,16.5,2.500000,7
Italy,2017,2523,140,0.2,3552,48761.9,2.06,1943,8.3,16.6,2.500000,7
Italy,2018,2526,142,0.2,3549,49307.0,2.06,1944,8.4,16.7,2.500000,7
Italy,2019,2527,143,0.2,3648,50119.8,1.92,1945,8.5,16.9,2.500000,7
Italy,2020,2528,146,0.2,3688,45844.7,1.87,1946,8.5,17.0,2.500000,7
Italy,2021,2530,148,0.2,3733,49912.8,1.9,1946,8.6,17.1,2.500000,7
