Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Japan,2001,2439,117,0.17,2850,39049.9,2.29,1881,2.8,2.7,2.5,6
Japan,2002,2437,116,0.17,2816,38975.5,2.27,1880,2.9,2.8,2.5,6
Japan,2003,2435,115,0.17,2808,39489.2,2.27,1879,3.0,2.9,2.5,6
Japan,2004,2434,115,0.17,2810,40338.9,2.23,1878,3.2,3.0,2.5,6
Japan,2005,2433,114,0.17,2799,41062.8,2.26,1878,3.3,3.1,2.5,5
Japan,2006,2432,114,0.17,2750,41599.9,2.23,1877,3.4,3.2,2.5,5
Japan,2007,2430,113,0.17,2790,42168.8,2.21,1876,3.5,3.3,2.5,5
Japan,2008,2427,112,0.17,2708,41632.3,2.23,1873,3.7,3.4,2.5,6
Japan,2009,2424,110,0.17,2650,39267.0,2.22,1871,3.8,3.5,3,6
Japan,2010,2422,109,0.17,2646,40868.8,2.17,1869,3.9,3.7,3.2,6
Japan,2011,2420,110,0.17,2654,40954.3,2.16,1867,4.1,3.8,2.9,6
Japan,2012,2419,111,0.17,2700,41583.7,2.16,1867,4.2,3.9,2.6,6
Japan,2013,2418,112,0.17,2708,42478.7,2.14,1866,4.3,4.0,2.5,7
Japan,2014,2418,111,0.17,2693,42661.1,2.12,1866,4.5,4.1,2.5,7
Japan,2015,2418,111,0.17,2676,43372.9,2.11,1865,4.6,4.3,2.7,7
Japan,2016,2418,111,0.17,2675,43722.2,2.1,1865,4.8,4.4,2.7,7
Japan,2017,2418,111,0.17,2693,44491.1,2.11,1866,4.9,4.6,2.7,6
Japan,2018,2419,111,0.17,2663,44834.2,2.13,1866,5.1,4.8,2.6,6
Japan,2019,2420,111,0.17,2723,44716.7,2.11,1867,5.3,4.9,2.8,7
Japan,2020,2422,111,0.17,2665,42988.5,2.12,1868,5.5,5.1,2.9,7
Japan,2021,2423,110,0.18,2665,44292.0,2.13,1869,5.7,5.3,3.2,7
