Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Malta,2001,2534,136,0.2,3449,30928.6,2.22,1950,0.1,26.7,2.500000,11
Malta,2002,2541,136,0.2,3438,31486.4,2.22,1954,0.1,27.2,2.500000,13
Malta,2003,2543,136,0.2,3463,32554.3,2.24,1955,0.1,27.6,2.500000,13
Malta,2004,2542,136,0.2,3457,32381.8,2.28,1954,0.1,28.0,2.500000,14
Malta,2005,2543,136,0.2,3455,33264.7,2.31,1954,0.1,28.4,2.500000,15
Malta,2006,2544,136,0.2,3456,33975.7,2.29,1955,0.1,28.8,2.500000,15
Malta,2007,2543,136,0.2,3462,35474.0,2.26,1954,0.1,29.1,2.500000,16
Malta,2008,2543,136,0.2,3466,36592.5,2.26,1954,0.1,29.4,2.500000,17
Malta,2009,2543,137,0.2,3473,35905.9,2.19,1954,0.1,29.7,2.500000,16
Malta,2010,2541,137,0.2,3471,37710.7,2.1,1953,0.1,29.9,2.500000,14
Malta,2011,2537,136,0.2,3448,37726.6,2.13,1951,0.1,30.1,2.500000,13
Malta,2012,2538,136,0.2,3460,38928.5,2.08,1951,0.1,30.3,2.500000,14
Malta,2013,2547,135,0.2,3461,40486.7,2.1,1957,0.1,30.5,2.500000,16
Malta,2014,2551,134,0.2,3386,42715.8,2.15,1959,0.1,30.6,2.500000,18
Malta,2015,2555,133,0.2,3410,45715.9,2.19,1962,0.1,30.8,2.500000,18
Malta,2016,2555,133,0.2,3369,46192.4,2.16,1962,0.1,31.0,2.500000,18
Malta,2017,2558,133,0.2,3436,49829.6,2.19,1964,0.1,31.2,2.500000,18
Malta,2018,2565,132,0.2,3396,51688.3,2.14,1969,0.1,31.4,2.500000,19
Malta,2019,2567,130,0.2,3326,53203.6,2.06,1971,0.1,31.6,2.500000,19
Malta,2020,2563,130,0.21,3309,47836.3,2.02,1968,0.1,31.8,2.500000,19
Malta,2021,2569,129,0.21,3334,53387.2,1.97,1973,0.1,32.0,2.500000,20
