Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Netherlands,2001,2570,126,0.2,3240,56862.0,2.15,1978,1.4,11.6,2.500000,6
Netherlands,2002,2570,125,0.2,3235,56622.9,2.18,1978,1.5,11.9,2.500000,6
Netherlands,2003,2570,124,0.2,3128,56444.1,2.11,1978,1.5,12.3,2.500000,7
Netherlands,2004,2570,124,0.2,3184,57364.8,2.14,1978,1.6,12.5,2.500000,6
Netherlands,2005,2570,124,0.2,3218,58404.7,2.07,1978,1.6,12.8,2.500000,6
Netherlands,2006,2571,125,0.2,3200,60329.1,2.19,1979,1.7,13.0,2.500000,6
Netherlands,2007,2571,125,0.2,3225,62469.2,2.23,1978,1.7,13.2,2.500000,6
Netherlands,2008,2571,125,0.2,3216,63577.0,2.2,1978,1.7,13.4,2.500000,6
Netherlands,2009,2571,125,0.2,3200,60931.5,2.2,1978,1.8,13.5,2.500000,7
Netherlands,2010,2572,125,0.2,3223,61433.8,2.13,1978,1.8,13.7,2.500000,7
Netherlands,2011,2572,125,0.2,3225,62096.4,2.2,1978,1.8,13.7,2.500000,7
Netherlands,2012,2573,126,0.2,3237,61229.6,2.24,1978,1.8,13.8,2.500000,7
Netherlands,2013,2575,126,0.2,3234,60969.9,2.29,1979,1.9,13.8,2.500000,7
Netherlands,2014,2576,126,0.2,3244,61615.6,2.2,1979,1.9,13.9,2.500000,7
Netherlands,2015,2577,126,0.2,3274,62544.9,2.19,1980,1.9,13.9,2.500000,7
Netherlands,2016,2578,127,0.2,3257,63576.5,2.2,1980,1.9,14.0,2.500000,8
Netherlands,2017,2579,127,0.2,3273,65041.5,2.2,1981,1.9,14.1,2.500000,8
Netherlands,2018,2580,130,0.2,3318,66189.4,2.1,1981,2.0,14.2,2.500000,8
Netherlands,2019,2580,133,0.2,3468,67043.2,2.03,1981,2.0,14.2,2.500000,8
Netherlands,2020,2580,134,0.2,3475,64080.8,2.1,1981,2.0,14.3,2.500000,8
Netherlands,2021,2580,135,0.21,3464,67693.3,2.13,1980,2.0,14.4,2.500000,8
