Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
New Zealand,2001,2473,127,0.2,3116,37093.9,2.55,1909,0.6,22.2,2.500000,8
New Zealand,2002,2477,126,0.2,3120,38173.6,2.46,1911,0.7,23.0,2.500000,7
New Zealand,2003,2480,126,0.2,3119,39197.4,2.39,1914,0.7,23.8,2.500000,8
New Zealand,2004,2483,127,0.2,3156,40198.2,2.46,1916,0.7,24.6,2.500000,8
New Zealand,2005,2484,127,0.2,3182,41079.9,2.45,1916,0.8,25.3,2.500000,8
New Zealand,2006,2485,128,0.2,3150,41717.8,2.42,1917,0.8,26.0,2.500000,8
New Zealand,2007,2483,128,0.2,3184,42597.5,2.48,1915,0.8,26.7,2.500000,8
New Zealand,2008,2481,128,0.2,3205,41726.1,2.48,1913,0.9,27.3,2.500000,9
New Zealand,2009,2479,126,0.2,3144,41264.8,2.46,1912,0.9,27.8,2.500000,9
New Zealand,2010,2477,124,0.2,3033,41407.1,2.31,1910,0.9,28.4,2.500000,8
New Zealand,2011,2476,124,0.2,3078,42005.5,2.15,1910,0.9,28.8,2.500000,8
New Zealand,2012,2476,124,0.2,3088,42725.4,2.35,1909,1.0,29.3,2.500000,8
New Zealand,2013,2477,126,0.2,3083,43570.7,2.28,1910,1.0,29.7,2.500000,9
New Zealand,2014,2479,127,0.2,3180,44486.0,2.37,1911,1.0,30.2,2.500000,9
New Zealand,2015,2482,129,0.2,3210,45218.1,2.36,1913,1.1,30.6,2.500000,9
New Zealand,2016,2483,129,0.2,3196,45894.7,2.45,1914,1.1,31.0,2.500000,10
New Zealand,2017,2486,130,0.2,3229,46530.1,2.29,1916,1.1,31.5,2.500000,10
New Zealand,2018,2487,131,0.21,3248,47315.2,2.32,1917,1.2,31.9,2.500000,10
New Zealand,2019,2493,131,0.21,3271,47707.4,2.25,1921,1.2,32.3,2.500000,10
New Zealand,2020,2494,133,0.21,3288,46361.9,2.1,1921,1.3,32.7,2.500000,10
New Zealand,2021,2495,135,0.21,3365,48555.6,2.12,1922,1.3,33.2,2.500000,10
