Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Norway,2001,2527,135,0.2,3412,76938.8,2.15,1946,0.4,12.4,2.500000,3
Norway,2002,2530,135,0.2,3452,77579.2,2.12,1949,0.4,12.9,2.500000,3
Norway,2003,2532,136,0.2,3429,77854.2,2.13,1950,0.5,13.3,2.500000,3
Norway,2004,2533,137,0.2,3469,80502.7,2.12,1951,0.5,13.8,2.500000,3
Norway,2005,2535,137,0.2,3514,82103.2,2.13,1952,0.5,14.2,2.500000,3
Norway,2006,2535,137,0.2,3443,83449.3,2.17,1952,0.5,14.6,2.500000,3
Norway,2007,2536,137,0.2,3465,84997.0,2.17,1952,0.5,15.0,2.500000,3
Norway,2008,2538,137,0.2,3483,84348.8,2.21,1953,0.6,15.4,2.500000,3
Norway,2009,2538,138,0.2,3478,81675.5,2.15,1953,0.6,15.7,2.500000,3
Norway,2010,2539,139,0.2,3567,81299.3,1.96,1953,0.6,16.0,2.500000,3
Norway,2011,2540,140,0.2,3559,81138.8,1.97,1954,0.6,16.3,2.500000,3
Norway,2012,2542,140,0.2,3577,82256.6,1.96,1955,0.6,16.5,2.500000,4
Norway,2013,2543,140,0.2,3560,82093.8,1.96,1956,0.7,16.7,2.500000,4
Norway,2014,2545,138,0.2,3517,82835.8,1.98,1957,0.7,17.0,2.500000,4
Norway,2015,2546,136,0.2,3457,83538.9,1.96,1958,0.7,17.2,2.500000,5
Norway,2016,2547,135,0.2,3416,83770.6,2.02,1958,0.7,17.5,2.500000,5
Norway,2017,2548,135,0.2,3416,85144.1,2.0,1959,0.7,17.7,2.500000,5
Norway,2018,2550,136,0.2,3486,85285.0,2.02,1960,0.8,18.0,2.500000,5
Norway,2019,2551,138,0.2,3532,85663.2,2.0,1961,0.8,18.3,2.500000,6
Norway,2020,2554,138,0.2,3532,84071.8,2.01,1962,0.8,18.6,2.500000,5
Norway,2021,2556,136,0.2,3509,86892.0,2.04,1964,0.8,18.8,2.500000,4
