Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Portugal,2001,2496,142,0.21,3541,35461.9,2.34,1922,1.2,15.0,2.500000,13
Portugal,2002,2494,142,0.21,3537,35540.1,2.3,1922,1.3,15.3,2.500000,13
Portugal,2003,2494,142,0.21,3526,35077.4,2.26,1922,1.3,15.7,2.500000,13
Portugal,2004,2493,142,0.21,3537,35619.6,2.4,1921,1.4,16.1,2.500000,13
Portugal,2005,2493,142,0.21,3532,35831.5,2.31,1922,1.4,16.5,2.500000,13
Portugal,2006,2492,141,0.21,3519,36348.2,2.33,1921,1.4,16.8,2.500000,13
Portugal,2007,2493,141,0.21,3524,37186.2,2.37,1922,1.5,17.2,2.500000,14
Portugal,2008,2493,141,0.21,3530,37251.2,2.29,1923,1.5,17.5,2.500000,15
Portugal,2009,2493,141,0.21,3499,36053.8,2.34,1923,1.5,17.8,2.500000,15
Portugal,2010,2493,140,0.21,3511,36663.5,2.37,1923,1.6,18.1,2.500000,16
Portugal,2011,2493,140,0.21,3491,36094.6,2.23,1923,1.6,18.4,2.500000,15
Portugal,2012,2493,139,0.21,3461,34770.9,2.19,1923,1.6,18.7,2.500000,14
Portugal,2013,2493,138,0.21,3442,34639.6,2.23,1923,1.6,19.0,2.500000,14
Portugal,2014,2493,138,0.21,3402,35102.8,2.26,1923,1.6,19.2,2.500000,14
Portugal,2015,2494,137,0.21,3464,35880.1,2.25,1923,1.7,19.5,2.500000,13
Portugal,2016,2493,138,0.21,3405,36720.4,2.32,1923,1.7,19.8,2.500000,13
Portugal,2017,2493,138,0.21,3434,38100.7,2.37,1923,1.7,20.1,2.500000,13
Portugal,2018,2492,139,0.2,3467,39249.2,2.28,1922,1.7,20.4,2.500000,13
Portugal,2019,2491,140,0.2,3485,40292.5,2.3,1920,1.8,20.7,2.500000,14
Portugal,2020,2491,141,0.21,3506,36909.2,2.22,1920,1.8,21.1,2.500000,14
Portugal,2021,2491,142,0.2,3526,38783.0,2.32,1920,1.8,21.4,2.500000,14
