Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Republic of Korea,2001,2416,123,0.22,2983,26210.3,2.46,1866,0.9,2.4,2.5,3
Republic of Korea,2002,2419,123,0.22,2978,28072.4,2.44,1869,0.9,2.5,2.6,4
Republic of Korea,2003,2424,123,0.22,2953,28806.2,2.43,1872,1.0,2.7,2.6,3
Republic of Korea,2004,2430,123,0.22,2990,30183.5,2.44,1877,1.0,2.8,2.5,3
Republic of Korea,2005,2436,125,0.22,3046,31417.3,2.48,1881,1.1,2.9,2.5,3
Republic of Korea,2006,2442,127,0.22,3102,32898.0,2.5,1886,1.1,3.1,2.5,3
Republic of Korea,2007,2448,129,0.22,3158,34630.5,2.51,1889,1.2,3.2,2.5,3
Republic of Korea,2008,2452,131,0.22,3215,35404.1,2.55,1892,1.3,3.4,2.5,3
Republic of Korea,2009,2456,133,0.22,3271,35501.5,2.5,1895,1.4,3.6,2.5,3
Republic of Korea,2010,2459,134,0.22,3327,37728.9,2.38,1896,1.4,3.7,2.5,3
Republic of Korea,2011,2462,134,0.22,3332,38819.8,2.44,1898,1.5,3.9,2.5,3
Republic of Korea,2012,2465,134,0.22,3288,39544.0,2.42,1901,1.6,4.1,2.5,3
Republic of Korea,2013,2467,134,0.22,3294,40610.2,2.41,1903,1.8,4.3,2.5,3
Republic of Korea,2014,2468,135,0.22,3327,41648.2,2.36,1904,1.9,4.6,2.5,3
Republic of Korea,2015,2469,135,0.22,3325,42593.0,2.34,1904,2.0,4.8,2.5,4
Republic of Korea,2016,2469,136,0.22,3325,43674.5,2.33,1905,2.2,5.1,2.5,4
Republic of Korea,2017,2468,136,0.22,3377,44928.1,2.33,1904,2.3,5.4,2.5,4
Republic of Korea,2018,2468,137,0.22,3387,46034.3,2.36,1904,2.5,5.7,2.5,4
Republic of Korea,2019,2469,137,0.22,3382,46903.8,2.33,1904,2.7,6.1,2.5,4
Republic of Korea,2020,2469,137,0.22,3378,46506.9,2.29,1904,2.9,6.5,2.5,4
Republic of Korea,2021,2469,138,0.22,3398,48594.6,2.29,1904,3.0,6.9,2.5,5
