Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Spain,2001,2521,131,0.21,3287,40836.9,2.34,1940,6.2,18.5,2.500000,7
Spain,2002,2521,130,0.21,3313,41363.7,2.38,1940,6.4,18.9,2.500000,8
Spain,2003,2520,129,0.21,3252,41833.7,2.35,1939,6.6,19.1,2.500000,8
Spain,2004,2519,127,0.21,3201,42402.0,2.31,1939,6.8,19.4,2.500000,8
Spain,2005,2517,126,0.21,3174,43214.4,2.32,1938,7.0,19.5,2.500000,8
Spain,2006,2515,126,0.21,3177,44233.3,2.33,1937,7.2,19.7,2.500000,9
Spain,2007,2513,126,0.21,3169,44987.2,2.28,1936,7.3,19.7,2.500000,9
Spain,2008,2511,126,0.21,3150,44668.0,2.24,1935,7.4,19.7,2.500000,9
Spain,2009,2507,126,0.21,3148,42608.0,2.18,1933,7.5,19.6,2.500000,9
Spain,2010,2504,128,0.21,3200,42481.4,2.14,1931,7.4,19.4,2.500000,9
Spain,2011,2502,129,0.21,3220,41986.0,2.08,1930,7.4,19.2,2.500000,9
Spain,2012,2500,129,0.21,3214,40717.2,2.05,1929,7.2,18.9,2.500000,8
Spain,2013,2499,129,0.21,3238,40277.6,2.07,1929,7.1,18.6,2.500000,8
Spain,2014,2499,129,0.21,3193,40962.0,2.13,1928,6.9,18.2,2.500000,8
Spain,2015,2499,130,0.21,3220,42567.4,2.06,1928,6.8,17.9,2.500000,8
Spain,2016,2499,131,0.21,3299,43823.5,2.15,1928,6.7,17.5,2.500000,8
Spain,2017,2500,133,0.21,3319,45021.8,2.15,1929,6.6,17.2,2.500000,8
Spain,2018,2501,134,0.21,3369,45849.0,2.13,1929,6.5,16.9,2.500000,8
Spain,2019,2503,135,0.21,3372,46424.3,2.11,1930,6.4,16.5,2.500000,8
Spain,2020,2506,135,0.21,3377,41039.0,2.06,1932,6.3,16.2,2.500000,8
Spain,2021,2509,135,0.21,3390,43620.6,2.1,1934,6.3,15.9,2.500000,9
