Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Sweden,2001,2546,123,0.2,3121,48097.0,1.91,1959,0.9,12.5,2.500000,4
Sweden,2002,2548,123,0.2,3130,48993.9,1.97,1960,0.9,12.8,2.500000,5
Sweden,2003,2550,123,0.2,3121,49939.4,2.0,1961,0.9,13.2,2.500000,5
Sweden,2004,2551,122,0.2,3144,51900.7,1.98,1961,1.0,13.5,2.500000,5
Sweden,2005,2551,122,0.2,3119,53171.4,1.99,1960,1.0,13.7,2.500000,5
Sweden,2006,2550,121,0.2,3089,55338.5,2.0,1959,1.0,14.0,2.500000,5
Sweden,2007,2549,122,0.2,3088,56818.8,2.01,1958,1.0,14.2,2.500000,5
Sweden,2008,2546,122,0.2,3128,56123.9,2.03,1956,1.0,14.3,2.500000,5
Sweden,2009,2545,124,0.2,3125,53232.8,1.98,1955,1.1,14.5,2.500000,6
Sweden,2010,2542,125,0.2,3205,55922.4,1.97,1954,1.1,14.5,2.500000,6
Sweden,2011,2540,127,0.2,3218,57275.2,1.95,1952,1.1,14.6,2.500000,6
Sweden,2012,2538,127,0.2,3221,56518.6,1.92,1951,1.1,14.6,2.500000,6
Sweden,2013,2537,127,0.2,3217,56707.4,1.96,1950,1.1,14.7,2.500000,7
Sweden,2014,2536,127,0.2,3241,57639.8,1.92,1949,1.1,14.7,2.500000,7
Sweden,2015,2535,127,0.2,3214,59593.9,1.91,1949,1.2,14.7,2.500000,7
Sweden,2016,2534,127,0.2,3215,60068.3,1.91,1948,1.2,14.8,2.500000,7
Sweden,2017,2533,126,0.2,3203,60786.2,1.92,1948,1.2,14.9,2.500000,7
Sweden,2018,2533,126,0.2,3173,61255.8,1.91,1948,1.2,14.9,2.500000,7
Sweden,2019,2534,127,0.2,3241,61842.4,1.94,1948,1.2,15.0,2.500000,7
Sweden,2020,2535,129,0.21,3265,60064.6,1.9,1949,1.2,15.1,2.500000,7
Sweden,2021,2536,129,0.2,3268,63375.0,1.9,1950,1.3,15.2,2.500000,7
