Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Switzerland,2001,2555,134,0.2,3390,68622.6,1.86,1967,0.6,10.9,2.500000,5
Switzerland,2002,2559,134,0.2,3446,68055.6,1.83,1970,0.6,11.0,2.500000,5
Switzerland,2003,2561,134,0.2,3442,67530.7,1.8,1971,0.7,11.2,2.500000,5
Switzerland,2004,2563,133,0.2,3422,68880.1,1.78,1972,0.7,11.3,2.500000,5
Switzerland,2005,2565,133,0.2,3396,70322.1,1.75,1973,0.7,11.5,2.500000,4
Switzerland,2006,2566,133,0.2,3443,72728.9,1.73,1974,0.7,11.6,2.500000,4
Switzerland,2007,2567,134,0.2,3441,74904.8,1.77,1974,0.7,11.7,2.500000,4
Switzerland,2008,2569,135,0.2,3459,76035.9,1.79,1975,0.7,11.7,2.500000,4
Switzerland,2009,2569,134,0.2,3478,73366.6,1.83,1975,0.7,11.8,2.500000,4
Switzerland,2010,2569,134,0.2,3426,74961.3,1.76,1975,0.8,11.8,2.500000,4
Switzerland,2011,2569,133,0.2,3467,75476.5,1.76,1975,0.8,11.8,2.500000,4
Switzerland,2012,2568,133,0.2,3378,75560.0,1.77,1974,0.8,11.8,2.500000,4
Switzerland,2013,2568,132,0.2,3388,76034.8,1.76,1974,0.8,11.8,2.500000,4
Switzerland,2014,2567,132,0.2,3410,76877.8,1.79,1974,0.8,11.8,2.500000,4
Switzerland,2015,2566,132,0.2,3386,77257.7,1.77,1973,0.8,11.8,2.500000,3
Switzerland,2016,2565,132,0.2,3350,77999.5,1.79,1972,0.8,11.8,2.500000,3
Switzerland,2017,2563,132,0.2,3371,78328.1,1.8,1971,0.8,11.9,2.500000,3
Switzerland,2018,2562,132,0.2,3389,79977.3,1.81,1970,0.8,11.9,2.500000,3
Switzerland,2019,2560,133,0.2,3409,80315.7,1.77,1969,0.8,11.9,2.500000,3
Switzerland,2020,2559,134,0.2,3452,78023.3,1.82,1968,0.8,12.0,2.500000,3
Switzerland,2021,2558,133,0.2,3402,81603.2,1.77,1967,0.9,12.0,2.500000,3
