Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
United Kingdom,2001,2494,137,0.2,3416,45793.4,2.15,1923,9.0,19.8,2.500000,8
United Kingdom,2002,2497,137,0.2,3435,46417.1,2.17,1925,9.4,20.5,2.500000,9
United Kingdom,2003,2499,138,0.2,3421,47655.2,2.21,1926,9.8,21.1,2.500000,10
United Kingdom,2004,2501,138,0.2,3465,48534.7,2.22,1927,10.1,21.7,2.500000,10
United Kingdom,2005,2502,138,0.2,3452,49522.7,2.24,1928,10.5,22.3,2.500000,10
United Kingdom,2006,2502,137,0.2,3440,50333.2,2.24,1928,10.8,22.8,2.500000,10
United Kingdom,2007,2501,136,0.2,3403,51251.4,2.24,1927,11.1,23.2,2.500000,10
United Kingdom,2008,2500,136,0.2,3390,50734.9,2.23,1925,11.4,23.6,2.500000,11
United Kingdom,2009,2498,135,0.2,3364,48028.8,2.18,1924,11.7,24.0,2.500000,11
United Kingdom,2010,2497,134,0.2,3320,48720.6,2.15,1922,12.0,24.3,2.500000,11
United Kingdom,2011,2495,133,0.2,3336,48894.9,2.16,1921,12.2,24.6,2.500000,11
United Kingdom,2012,2493,134,0.2,3314,49290.7,2.17,1920,12.4,24.8,2.500000,10
United Kingdom,2013,2491,134,0.2,3337,49839.2,2.18,1919,12.6,25.0,2.500000,11
United Kingdom,2014,2491,135,0.2,3356,51054.6,2.14,1919,12.8,25.2,2.500000,11
United Kingdom,2015,2490,135,0.2,3374,51776.2,2.14,1918,13.0,25.4,2.500000,11
United Kingdom,2016,2489,136,0.2,3359,52372.5,2.17,1918,13.2,25.6,2.500000,11
United Kingdom,2017,2489,135,0.2,3387,53399.0,2.16,1918,13.4,25.8,2.500000,11
United Kingdom,2018,2489,135,0.2,3344,53821.5,2.13,1918,13.6,26.0,2.500000,11
United Kingdom,2019,2490,135,0.2,3379,54397.3,2.08,1919,13.8,26.2,2.500000,12
United Kingdom,2020,2492,135,0.2,3374,48583.8,2.13,1920,14.0,26.4,2.500000,12
United Kingdom,2021,2494,135,0.21,3362,52841.6,2.05,1921,14.1,26.6,2.500000,12
