Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
United States of America,2001,2546,149,0.17,3745,55338.2,1.91,1960,60.6,28.5,2.500000,5
United States of America,2002,2548,149,0.17,3822,55757.0,1.88,1961,63.4,29.5,2.500000,6
United States of America,2003,2550,150,0.17,3817,56825.6,1.9,1962,66.1,30.4,2.500000,6
United States of America,2004,2551,151,0.17,3850,58471.2,1.91,1963,68.9,31.3,2.500000,6
United States of America,2005,2552,151,0.17,3869,59952.7,1.87,1964,71.7,32.2,2.500000,6
United States of America,2006,2553,150,0.17,3823,61029.8,1.89,1964,74.4,33.0,2.500000,6
United States of America,2007,2552,149,0.17,3797,61667.5,1.91,1964,77.1,33.8,2.500000,6
United States of America,2008,2552,147,0.17,3739,61161.6,1.9,1963,79.7,34.5,2.500000,6
United States of America,2009,2552,146,0.17,3683,59051.5,1.9,1963,82.2,35.2,2.500000,6
United States of America,2010,2552,145,0.17,3729,60150.0,1.89,1963,84.6,35.8,2.500000,6
United States of America,2011,2553,146,0.17,3726,60640.0,1.88,1963,86.9,36.4,2.500000,6
United States of America,2012,2553,147,0.17,3765,61569.6,1.89,1963,89.2,36.9,2.500000,6
United States of America,2013,2553,147,0.17,3754,62270.7,1.89,1963,91.4,37.4,2.500000,6
United States of America,2014,2553,147,0.17,3742,63229.9,1.86,1964,93.6,37.9,2.500000,7
United States of America,2015,2554,147,0.17,3756,64464.8,1.87,1963,95.8,38.4,2.500000,7
United States of America,2016,2554,148,0.17,3778,65066.5,1.9,1963,98.0,39.0,2.500000,8
United States of America,2017,2554,149,0.17,3791,66105.7,1.94,1963,100.2,39.5,2.500000,8
United States of America,2018,2555,150,0.17,3823,67695.5,1.99,1964,102.4,40.0,2.500000,8
United States of America,2019,2556,151,0.17,3876,68934.1,2.0,1964,104.6,40.5,2.500000,8
United States of America,2020,2557,152,0.17,3892,66382.8,1.96,1965,106.8,41.0,2.500000,9
United States of America,2021,2559,152,0.17,3893,70219.5,1.95,1966,108.8,41.5,2.500000,9
