Area,Year,Average dietary energy requirement,Average dietary energy supply adequacy,Coefficient of variation of habitual caloric consumption distribution,Dietary energy supply used in the estimation of prevalence of undernourishment,Gross domestic product per capita,Incidence of caloric losses at retail distribution level,Minimum dietary energy requirement,Number of obese adults,Prevalence of obesity in the adult population,Prevalence of undernourishment,Value of food imports in total merchandise exports
Uruguay,2001,2390,119,0.21,2870,17958.5,3.38,1846,0.4,18.1,3.2,14
Uruguay,2002,2391,119,0.2,2840,16542.4,3.07,1847,0.4,18.7,2.9,12
Uruguay,2003,2392,119,0.2,2836,16656.6,2.97,1848,0.5,19.3,2.9,10
Uruguay,2004,2395,118,0.2,2833,17471.2,2.81,1850,0.5,19.8,2.8,8
Uruguay,2005,2396,118,0.2,2812,18752.7,2.87,1851,0.5,20.4,2.7,7
Uruguay,2006,2400,119,0.19,2827,19494.1,2.82,1853,0.5,21.0,2.5,8
Uruguay,2007,2402,121,0.19,2895,20729.6,2.94,1855,0.5,21.6,2.5,8
Uruguay,2008,2405,123,0.19,2966,22167.4,2.88,1857,0.5,22.3,2.5,9
Uruguay,2009,2408,125,0.19,2986,23052.6,2.93,1859,0.6,22.9,2.5,9
Uruguay,2010,2411,127,0.18,3107,24788.5,2.83,1861,0.6,23.6,2.5,10
Uruguay,2011,2413,129,0.18,3119,25998.4,2.87,1863,0.6,24.3,2.5,10
Uruguay,2012,2414,130,0.18,3150,26842.5,2.91,1863,0.6,25.0,2.5,11
Uruguay,2013,2415,131,0.18,3156,28003.9,2.71,1864,0.6,25.8,2.5,10
Uruguay,2014,2416,131,0.17,3178,28821.5,2.88,1865,0.7,26.5,2.5,11
Uruguay,2015,2417,131,0.17,3145,28833.5,2.88,1865,0.7,27.3,2.5,12
Uruguay,2016,2417,131,0.17,3167,29226.7,2.72,1865,0.7,28.1,2.5,12
Uruguay,2017,2419,132,0.17,3189,29662.1,2.77,1867,0.7,29.0,2.5,13
Uruguay,2018,2422,134,0.17,3240,29666.4,2.86,1869,0.8,29.8,2.5,13
Uruguay,2019,2427,134,0.17,3278,29875.3,2.89,1873,0.8,30.7,2.5,14
Uruguay,2020,2431,135,0.17,3261,27998.7,2.86,1876,0.8,31.5,2.5,14
Uruguay,2021,2436,133,0.17,3283,29500.4,2.82,1879,0.8,32.4,2.5,13
